# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/mutant-01.bam" "bam/mutant-02.bam" "bam/mutant-03.bam" "bam/mutant-04.bam" "bam/mutant-05.bam" "bam/mutant-06.bam" "bam/wildtype-01.bam" "bam/wildtype-02.bam" "bam/wildtype-03.bam" "bam/wildtype-04.bam" "bam/wildtype-05.bam" "bam/wildtype-06.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/mutant-01.bam	bam/mutant-02.bam	bam/mutant-03.bam	bam/mutant-04.bam	bam/mutant-05.bam	bam/mutant-06.bam	bam/wildtype-01.bam	bam/wildtype-02.bam	bam/wildtype-03.bam	bam/wildtype-04.bam	bam/wildtype-05.bam	bam/wildtype-06.bam
YAL068C	I	1807	2169	-	363	0	1	0	0	0	1	0	0	0	0	0	0
YAL067C	I	7235	9016	-	1782	18	9	9	16	8	9	1	4	4	3	3	4
YAL064C-A	I	13363	13743	-	381	12	13	6	13	7	8	3	4	3	8	6	7
YAL063C	I	24000	27968	-	3969	41	41	38	42	30	38	20	25	19	21	22	50
YAL062W	I	31567	32940	+	1374	127	105	103	116	87	147	53	61	50	68	45	121
YAL061W	I	33448	34701	+	1254	124	122	89	105	93	161	336	255	224	473	228	445
YAL060W	I	35155	36303	+	1149	299	264	257	303	212	105	251	185	225	334	195	299
YAL059W	I	36509	37147	+	639	25	18	23	36	19	51	14	74	35	40	55	119
YAL058W	I	37464	38972	+	1509	43	50	54	52	36	60	41	40	31	48	37	64
YAL056C-A	I	38696	39046	-	351	1	1	0	2	0	0	0	1	0	0	1	1
YAL056W	I	39259	41901	+	2643	277	240	237	345	213	277	117	198	133	172	172	293
YAL055W	I	42177	42719	+	543	115	83	61	76	62	129	41	45	48	48	50	73
YAL054C	I	42881	45022	-	2142	133	92	63	118	61	80	31	43	45	50	42	64
YAL053W	I	45899	48250	+	2352	1052	812	783	1097	579	1364	424	413	371	718	361	750
YAL051W	I	48564	51707	+	3144	117	94	99	112	74	160	42	82	62	88	71	145
YAL049C	I	51855	52595	-	741	193	158	166	200	128	112	60	103	73	113	58	160
YAL048C	I	52801	54789	-	1989	36	26	32	27	12	36	30	22	20	37	27	43
YAL047C	I	54989	56857	-	1869	43	39	35	50	24	56	15	20	17	43	25	49
YAL046C	I	57029	57385	-	357	47	73	42	65	52	17	34	40	26	44	44	57
YAL044W-A	I	57518	57850	+	333	88	76	79	101	82	103	33	64	54	79	56	55
YAL044C	I	57950	58462	-	513	114	119	168	175	119	58	219	184	193	312	182	304
YAL043C	I	58695	61052	-	2358	204	155	149	173	136	307	89	118	99	129	114	211
YAL042C-A	I	61231	61608	-	378	0	0	0	0	0	0	0	0	0	0	0	0
YAL042W	I	61316	62563	+	1248	746	726	676	801	550	357	391	401	371	602	459	853
